PathXDx FFPE Archive — availability by organ and diagnostic category,,,,,,,,
Case ranges. '<5' indicates limited material — please enquire.,,,,,,,,
,,,,,,,,
Organ / tissue,Normal / control,Benign,Pre-malignant,Malignant,Total cases,of which inflammatory / infectious,Age at collection,Sex split
Tendon,5-25,<5,-,-,5-25,-,45-87 (median 64),50% F / 50% M
Spleen,5-25,<5,-,<5,5-25,-,47-90+ (median 69),78% F / 22% M
Brain,5-25,<5,-,-,5-25,-,12-90+ (median 52),25% F / 75% M
Eye,5-25,<5,-,-,5-25,-,23-84 (median 71),63% F / 37% M
Ureter,<5,-,-,<5,5-25,-,34-87 (median 77),38% F / 62% M
Extremity,<5,5-25,-,-,5-25,<5,45-70 (median 67),14% F / 86% M
Bursa,<5,<5,-,-,5-25,<5,29-80 (median 71),33% F / 67% M
Stomach,5-25,-,-,-,5-25,-,54-83 (median 79),50% F / 50% M
Adrenal Gland,<5,-,<5,<5,5-25,-,70-87 (median 81),40% F / 60% M
Vas Deferens,<5,<5,-,-,5-25,-,51-58 (median 55),Male
Pancreas,<5,<5,-,<5,<5,-,39-90+ (median 86),50% F / 50% M
Salivary Gland,<5,<5,-,<5,<5,-,31-71 (median 69),50% F / 50% M
Vertebral Column,<5,-,-,<5,<5,-,41-89 (median 71),50% F / 50% M
Ear,<5,<5,-,-,<5,-,24-60 (median 31),33% F / 67% M
Trachea,<5,-,-,<5,<5,-,35-76 (median 35),67% F / 33% M
Penis,-,<5,-,-,<5,-,22-69 (median 46),Male
Fetus,-,<5,-,-,<5,<5,37-37 (median 37),Female
Retroperitoneum,<5,-,-,-,<5,-,90+-90+ (median 90+),Female
Seminal Vesicle,<5,-,-,-,<5,-,86-86 (median 86),Male
,,,,,,,,
"Non-tissue specimen types held separately (not FFPE blocks): Body Cavity, Bone Marrow, Cerebrospinal Fluid, Peripheral Blood, Sputum, Urine",,,,,,,,
,,,,,,,,
Case ranges. '<5' indicates limited material — please enquire.,,,,,,,,
Inflammatory / infectious counts overlap the categories to their left and are not additive.,,,,,,,,
Counts exclude the Unknown diagnostic category.,,,,,,,,
